Number,Gender,NameSet,GivenName,MiddleInitial,StreetAddress,City,StateFull,ZipCode,CountryFull,EmailAddress,TelephoneNumber,CCNumber,CCExpires,CVV2,NationalID
1,female,French,Marie,C,"57 rue Reine Elisabeth",MÉRIGNAC,Aquitaine,33700,France,MarieGuay@rhyta.com,05.28.76.36.20,5467258114393738,4/2024,587,"2841170805271 10"
2,male,French,Onfroi,P,"26 rue Saint Germain",GAGNY,Île-de-France,93220,France,OnfroiLebrun@armyspy.com,01.65.70.66.03,4556819341416132,1/2023,942,"1910100007128 19"
3,male,French,Audric,B,"59 rue de l'Aigle","LA GARENNE-COLOMBES",Île-de-France,92250,France,AudricCantin@teleworm.us,01.84.90.43.95,5273320334001048,12/2025,267,"1020582329586 66"
4,female,French,Berangaria,B,"48 Rue Joseph Vernet",BAGNEUX,Île-de-France,92220,France,BerangariaAvare@jourrapide.com,01.38.89.38.27,5331837007355781,9/2024,674,"2010380966820 46"
5,female,French,Holly,Z,"10 place de Miremont",VILLENEUVE-LA-GARENNE,Île-de-France,92390,France,HollyAube@einrot.com,01.20.27.45.10,5541732799303857,7/2024,141,"2521134689122 68"
6,female,French,Robinette,F,"39 rue de Raymond Poincaré",NEUILLY-SUR-MARNE,Île-de-France,93330,France,RobinetteDesnoyer@cuvox.de,01.32.43.44.98,4532827031384394,11/2025,009,"2370351583736 66"
7,female,French,Olympia,S,"79 Rue de Verdun",MONT-DE-MARSAN,Aquitaine,40000,France,OlympiaLanoie@cuvox.de,05.03.22.73.67,5308584874466353,11/2024,340,"2560103928632 47"
8,male,French,Hugues,A,"2 rue du Fossé des Tanneurs",TOULON,"Provence-Alpes-Côte d'Azur",83200,France,HuguesMeilleur@teleworm.us,04.07.44.23.56,5230948632528379,9/2027,780,"1961098972857 88"
9,female,French,Zara,G,"40 avenue de Bouvines",SEDAN,Champagne-Ardenne,08200,France,ZaraPomerleau@armyspy.com,03.90.49.92.73,4485683666108138,9/2027,395,"2980871097539 45"
10,male,French,Charles,C,"12 rue des Nations Unies",SAINT-BRIEUC,Bretagne,22000,France,CharlesParadis@rhyta.com,02.96.75.93.04,4916845115335559,3/2026,028,"1860889386771 25"
11,female,French,Stéphanie,G,"41 Rue Marie De Médicis",CARCASSONNE,Languedoc-Roussillon,11000,France,StephanieLabrie@cuvox.de,04.10.36.03.23,5504476810016503,12/2025,754,"2630933957557 70"
12,female,French,Aceline,W,"35 rue de Lille",ASNIÈRES-SUR-SEINE,Île-de-France,92600,France,AcelineNeufville@fleckens.hu,01.02.97.71.12,4716470959752744,12/2027,172,"2591039484107 16"
13,female,French,Aubrette,T,"23 Avenue des Tuileries",HAGUENAU,Alsace,67500,France,AubretteDupuy@einrot.com,03.93.67.07.83,5218453864992191,12/2023,115,"2670569884039 91"
14,male,French,Channing,A,"25 rue du Paillle en queue",L'HAŸ-LES-ROSES,Île-de-France,94240,France,ChanningRenaud@armyspy.com,01.02.09.97.78,4485820075415007,2/2023,201,"1790989880371 29"
15,female,French,Estelle,B,"45 rue de Geneve",ALÈS,Languedoc-Roussillon,30100,France,EstellePoirier@dayrep.com,04.69.43.03.24,4532626438686512,6/2024,382,"2670408752292 94"
16,male,French,Romain,T,"32 avenue Ferdinand de Lesseps",GRANDE-SYNTHE,Nord-Pas-de-Calais,59760,France,RomainLamontagne@cuvox.de,02.36.16.46.40,5301337628482185,11/2025,181,"1990634651247 11"
17,female,French,Joséphine,C,"8 route de Lyon",ISTRES,"Provence-Alpes-Côte d'Azur",13800,France,JosephineOuellet@teleworm.us,04.06.06.78.70,4485288889633399,9/2023,728,"2651151659982 79"
18,male,French,Talbot,J,"95 rue des Chaligny",NICE,"Provence-Alpes-Côte d'Azur",06100,France,TalbotCliche@teleworm.us,04.27.18.76.12,5221081302528304,6/2024,102,"1500795299962 53"
19,female,French,Mavise,F,"96 rue Sébastopol",SAINTE-MARIE,Martinique,97230,France,MaviseBerthelette@gustr.com,05.27.73.51.40,4539170540391466,3/2023,608,"2400670545544 10"
20,female,French,Madelene,J,"62 Rue Hubert de Lisle",LUNEL,Languedoc-Roussillon,34400,France,MadeleneDucharme@fleckens.hu,04.63.26.83.94,4485071601816587,2/2024,302,"2860320367668 06"
21,female,French,Christine,G,"72 rue Goya","LE MÉE-SUR-SEINE",Île-de-France,77350,France,ChristineRheaume@cuvox.de,01.73.61.16.50,4532776460116514,8/2025,255,"2991242402171 15"
22,female,French,Genevre,F,"20 rue Pierre De Coubertin",TOULOUSE,Midi-Pyrénées,31300,France,GenevreCourcelle@armyspy.com,05.07.65.82.91,5391958360157908,5/2024,699,"2550246338040 74"
23,female,French,Clarimunda,G,"17 Avenue des Tuileries",GUYANCOURT,Île-de-France,78280,France,ClarimundaDeGrasse@cuvox.de,01.55.33.19.08,5229050826774787,5/2025,385,"2790615736368 44"
24,male,French,Normand,B,"34 boulevard Amiral Courbet",OULLINS,Rhône-Alpes,69600,France,NormandGrivois@dayrep.com,04.19.14.88.19,4532925607092886,11/2027,938,"1480311421199 40"
25,male,French,Tristan,P,"83 boulevard Albin Durand",CHALON-SUR-SAÔNE,Bourgogne,71100,France,TristanLanglois@dayrep.com,03.96.22.29.09,5191315658417191,12/2027,848,"1640247630067 84"
26,female,French,Anne,R,"59 cours Franklin Roosevelt",MARSEILLE,"Provence-Alpes-Côte d'Azur",13008,France,AnneDastous@einrot.com,04.78.73.19.90,4556503931356219,5/2026,714,"2781179050952 11"
27,female,French,Christabel,B,"56 rue de l'Epeule",ROUBAIX,Nord-Pas-de-Calais,59100,France,ChristabelGagnon@einrot.com,03.84.67.06.97,5213176490201688,11/2023,506,"2470638912153 97"
28,female,French,Karlotta,M,"82 rue du Président Roosevelt",SAUMUR,"Pays de la Loire",49400,France,KarlottaPaquin@armyspy.com,02.34.95.47.42,5560898477180358,10/2025,506,"2971027167678 45"
29,male,French,Alfred,E,"50 boulevard Amiral Courbet",ORVAULT,"Pays de la Loire",44700,France,AlfredBoileau@armyspy.com,02.67.02.82.87,4556912897021065,11/2023,579,"1000917308088 07"
30,female,French,Azura,A,"22 Place du Jeu de Paume",VIENNE,Rhône-Alpes,38200,France,AzuraVadnais@armyspy.com,04.17.73.62.32,5368733803646745,3/2025,436,"2400505120331 65"
31,male,French,Desire,A,"21 Rue St Ferréol",METZ,Lorraine,57070,France,DesireGregoire@dayrep.com,03.35.48.51.31,4539187511139104,4/2023,401,"1000982363417 56"
32,male,French,Audric,N,"10 Rue du Limas",BAYONNE,Aquitaine,64100,France,AudricBonenfant@einrot.com,05.26.39.69.63,4556665086463882,3/2027,109,"1400192826786 26"
33,female,French,Fanchon,M,"80 Square de la Couronne",PARIS,Île-de-France,75002,France,FanchonVeilleux@rhyta.com,01.76.04.33.23,5272684293301371,7/2026,010,"2931260079855 02"
34,female,French,Erembourg,G,"17 Rue Bonnet",WATTRELOS,Nord-Pas-de-Calais,59150,France,ErembourgJobin@einrot.com,03.18.03.59.62,5262297619190873,4/2025,734,"2680369031685 25"
35,female,French,Baptiste,F,"12 rue Pierre De Coubertin",TOULOUSE,Midi-Pyrénées,31000,France,BaptisteDoiron@fleckens.hu,05.09.11.06.30,5541279574398223,9/2027,279,"2650973809553 38"
36,female,French,Maurelle,D,"41 Cours Marechal-Joffre",DENAIN,Nord-Pas-de-Calais,59220,France,MaurelleJolicoeur@rhyta.com,03.30.31.88.03,5397721062655197,8/2025,707,"2030664979914 41"
37,male,French,Brice,V,"12 rue Beauvau",MARSEILLE,"Provence-Alpes-Côte d'Azur",13001,France,BricePlourde@fleckens.hu,04.85.60.92.77,4485387716086670,11/2025,852,"1561064413994 05"
38,male,French,Yvon,A,"87 rue Sébastopol",SAINTES,Poitou-Charentes,17100,France,YvonDespins@armyspy.com,05.33.14.34.11,4929808781293309,11/2027,625,"1450961891523 29"
39,male,French,Geoffrey,L,"57 rue de la Boétie",POINTE-À-PITRE,Guadeloupe,97110,France,GeoffreyHervieux@fleckens.hu,05.40.89.19.10,5221314453476654,6/2024,871,"1631119011115 58"
40,male,French,Marshall,B,"9 boulevard de Prague",NÎMES,Languedoc-Roussillon,30900,France,MarshallMigneault@superrito.com,04.30.35.12.94,5479885476517755,10/2023,359,"1460920124771 84"
41,female,French,Afrodille,R,"78 rue des Dunes",SAINT-MARTIN-D'HÈRES,Rhône-Alpes,38400,France,AfrodillePlaisance@einrot.com,04.86.21.40.60,4485140914714902,6/2023,583,"2720760761433 22"
42,male,French,Claude,F,"3 Quai des Belges",MAUBEUGE,Nord-Pas-de-Calais,59600,France,ClaudeDube@armyspy.com,03.58.84.47.11,5335997351896792,7/2027,290,"1660558646354 37"
43,male,French,Arthur,A,"28 avenue de l'Amandier",BOIS-COLOMBES,Île-de-France,92270,France,ArthurViens@teleworm.us,01.63.85.74.84,4929953422275016,2/2025,096,"1861197164025 85"
44,male,French,Chappell,L,"38 Rue Frédéric Chopin",VESOUL,Franche-Comté,70000,France,ChappellLachapelle@fleckens.hu,03.09.53.13.86,5320721550510310,11/2025,394,"1820941055441 56"
45,female,French,Ermengardi,A,"14 Rue St Ferréol",MEYZIEU,Rhône-Alpes,69330,France,ErmengardiCharlebois@teleworm.us,04.21.22.14.75,4916731969749485,3/2025,012,"2030998182777 35"
46,male,French,Philip,A,"20 Avenue des Tuileries",HAZEBROUCK,Nord-Pas-de-Calais,59190,France,PhilipRouleau@gustr.com,03.73.81.16.52,4532372947215655,1/2024,649,"1930897945700 33"
